time,agv_id,status,task_id,shelf_id,pos,is_loaded
2025-07-01 00:01:51,2F_AGV_1,IDLE,NONE,NONE,"(28, 26)",False
2025-07-01 00:01:51,2F_AGV_2,IDLE,NONE,NONE,"(23, 13)",False
2025-07-01 00:01:51,2F_AGV_3,IDLE,NONE,NONE,"(23, 11)",False
2025-07-01 00:01:51,2F_AGV_4,IDLE,NONE,NONE,"(23, 16)",False
2025-07-01 00:01:51,2F_AGV_5,IDLE,NONE,NONE,"(24, 26)",False
2025-07-01 00:01:51,2F_AGV_6,IDLE,NONE,NONE,"(24, 27)",False
2025-07-01 00:01:51,2F_AGV_7,IDLE,NONE,NONE,"(14, 14)",False
2025-07-01 00:01:51,2F_AGV_8,IDLE,NONE,NONE,"(24, 8)",False
2025-07-01 00:01:51,2F_AGV_9,IDLE,NONE,NONE,"(12, 31)",False
2025-07-01 00:01:51,2F_AGV_10,IDLE,NONE,NONE,"(30, 26)",False
2025-07-01 00:01:51,2F_AGV_11,IDLE,NONE,NONE,"(1, 52)",False
2025-07-01 00:01:51,2F_AGV_12,IDLE,NONE,NONE,"(26, 33)",False
2025-07-01 00:01:51,2F_AGV_13,IDLE,NONE,NONE,"(10, 8)",False
2025-07-01 00:01:51,2F_AGV_14,IDLE,NONE,NONE,"(20, 39)",False
2025-07-01 00:01:51,2F_AGV_15,IDLE,NONE,NONE,"(24, 28)",False
2025-07-01 00:01:51,2F_AGV_16,IDLE,NONE,NONE,"(8, 20)",False
2025-07-01 00:01:51,2F_AGV_17,IDLE,NONE,NONE,"(21, 8)",False
2025-07-01 00:01:51,2F_AGV_18,IDLE,NONE,NONE,"(21, 31)",False
2025-07-01 00:01:51,2F_AGV_19,IDLE,NONE,NONE,"(14, 27)",False
2025-07-01 00:01:51,2F_AGV_20,IDLE,NONE,NONE,"(24, 38)",False
2025-07-01 00:01:51,2F_AGV_21,IDLE,NONE,NONE,"(24, 12)",False
2025-07-01 00:01:51,2F_AGV_22,IDLE,NONE,NONE,"(13, 21)",False
2025-07-01 00:01:51,2F_AGV_23,IDLE,NONE,NONE,"(18, 44)",False
2025-07-01 00:01:51,2F_AGV_24,IDLE,NONE,NONE,"(21, 18)",False
2025-07-01 00:01:51,2F_AGV_25,IDLE,NONE,NONE,"(9, 59)",False
2025-07-01 00:01:51,2F_AGV_26,IDLE,NONE,NONE,"(16, 18)",False
2025-07-01 00:01:51,2F_AGV_27,IDLE,NONE,NONE,"(4, 15)",False
2025-07-01 00:01:51,2F_AGV_28,IDLE,NONE,NONE,"(24, 22)",False
2025-07-01 00:01:51,2F_AGV_29,IDLE,NONE,NONE,"(13, 13)",False
2025-07-01 00:01:51,2F_AGV_30,IDLE,NONE,NONE,"(17, 35)",False
2025-07-01 00:01:51,2F_AGV_31,IDLE,NONE,NONE,"(14, 23)",False
2025-07-01 00:01:51,2F_AGV_32,IDLE,NONE,NONE,"(10, 15)",False
2025-07-01 00:01:51,2F_AGV_33,IDLE,NONE,NONE,"(6, 40)",False
2025-07-01 00:01:51,2F_AGV_34,IDLE,NONE,NONE,"(1, 57)",False
2025-07-01 00:01:51,2F_AGV_35,IDLE,NONE,NONE,"(1, 31)",False
2025-07-01 00:01:51,2F_AGV_36,IDLE,NONE,NONE,"(24, 46)",False
2025-07-01 00:01:51,2F_AGV_37,IDLE,NONE,NONE,"(24, 44)",False
2025-07-01 00:01:51,2F_AGV_38,IDLE,NONE,NONE,"(12, 13)",False
2025-07-01 00:01:51,2F_AGV_39,IDLE,NONE,NONE,"(21, 22)",False
2025-07-01 00:01:51,2F_AGV_40,IDLE,NONE,NONE,"(14, 48)",False
2025-07-01 00:01:51,2F_AGV_41,IDLE,NONE,NONE,"(14, 55)",False
2025-07-01 00:01:51,2F_AGV_42,IDLE,NONE,NONE,"(13, 44)",False
2025-07-01 00:01:51,2F_AGV_43,IDLE,NONE,NONE,"(6, 32)",False
2025-07-01 00:01:51,2F_AGV_44,IDLE,NONE,NONE,"(10, 30)",False
2025-07-01 00:01:51,2F_AGV_45,IDLE,NONE,NONE,"(4, 19)",False
2025-07-01 00:01:51,2F_AGV_46,IDLE,NONE,NONE,"(20, 46)",False
2025-07-01 00:01:51,2F_AGV_47,IDLE,NONE,NONE,"(5, 53)",False
2025-07-01 00:01:51,2F_AGV_48,IDLE,NONE,NONE,"(13, 16)",False
2025-07-01 00:01:51,2F_AGV_49,IDLE,NONE,NONE,"(24, 29)",False
2025-07-01 00:01:51,2F_AGV_50,IDLE,NONE,NONE,"(24, 40)",False
2025-07-01 00:01:51,2F_AGV_51,IDLE,NONE,NONE,"(6, 27)",False
2025-07-01 00:01:51,2F_AGV_52,IDLE,NONE,NONE,"(18, 32)",False
2025-07-01 00:01:51,2F_AGV_53,IDLE,NONE,NONE,"(10, 13)",False
2025-07-01 00:01:51,2F_AGV_54,IDLE,NONE,NONE,"(28, 33)",False
2025-07-01 00:01:51,2F_AGV_55,IDLE,NONE,NONE,"(1, 23)",False
2025-07-01 00:01:51,2F_AGV_56,IDLE,NONE,NONE,"(14, 56)",False
2025-07-01 00:01:51,2F_AGV_57,IDLE,NONE,NONE,"(2, 51)",False
2025-07-01 00:01:51,2F_AGV_58,IDLE,NONE,NONE,"(3, 59)",False
2025-07-01 00:01:51,2F_AGV_59,IDLE,NONE,NONE,"(23, 56)",False
2025-07-01 00:01:51,2F_AGV_60,IDLE,NONE,NONE,"(14, 20)",False
2025-07-01 00:01:51,2F_AGV_61,IDLE,NONE,NONE,"(12, 56)",False
2025-07-01 00:01:51,2F_AGV_62,IDLE,NONE,NONE,"(30, 32)",False
2025-07-01 00:01:51,2F_AGV_63,IDLE,NONE,NONE,"(12, 40)",False
2025-07-01 00:01:51,2F_AGV_64,IDLE,NONE,NONE,"(20, 26)",False
2025-07-01 00:01:51,2F_AGV_65,IDLE,NONE,NONE,"(23, 46)",False
2025-07-01 00:01:51,2F_AGV_66,IDLE,NONE,NONE,"(16, 10)",False
2025-07-01 00:01:51,3F_AGV_101,IDLE,NONE,NONE,"(1, 18)",False
2025-07-01 00:01:51,3F_AGV_102,IDLE,NONE,NONE,"(1, 43)",False
2025-07-01 00:01:51,3F_AGV_103,IDLE,NONE,NONE,"(18, 35)",False
2025-07-01 00:01:51,3F_AGV_104,IDLE,NONE,NONE,"(18, 33)",False
2025-07-01 00:01:51,3F_AGV_105,IDLE,NONE,NONE,"(23, 23)",False
2025-07-01 00:01:51,3F_AGV_106,IDLE,NONE,NONE,"(30, 39)",False
2025-07-01 00:01:51,3F_AGV_107,IDLE,NONE,NONE,"(18, 48)",False
2025-07-01 00:01:51,3F_AGV_108,IDLE,NONE,NONE,"(10, 38)",False
2025-07-01 00:01:51,3F_AGV_109,IDLE,NONE,NONE,"(1, 14)",False
2025-07-01 00:01:51,3F_AGV_110,IDLE,NONE,NONE,"(6, 35)",False
2025-07-01 00:01:51,3F_AGV_111,IDLE,NONE,NONE,"(5, 59)",False
2025-07-01 00:01:51,3F_AGV_112,IDLE,NONE,NONE,"(9, 20)",False
2025-07-01 00:01:51,3F_AGV_113,IDLE,NONE,NONE,"(4, 11)",False
2025-07-01 00:01:51,3F_AGV_114,IDLE,NONE,NONE,"(18, 14)",False
2025-07-01 00:01:51,3F_AGV_115,IDLE,NONE,NONE,"(24, 32)",False
2025-07-01 00:01:51,3F_AGV_116,IDLE,NONE,NONE,"(14, 12)",False
2025-07-01 00:01:51,3F_AGV_117,IDLE,NONE,NONE,"(5, 53)",False
2025-07-01 00:01:51,3F_AGV_118,IDLE,NONE,NONE,"(21, 16)",False
2025-07-01 00:01:51,3F_AGV_119,IDLE,NONE,NONE,"(5, 13)",False
2025-07-01 00:01:51,3F_AGV_120,IDLE,NONE,NONE,"(1, 47)",False
2025-07-01 00:01:51,3F_AGV_121,IDLE,NONE,NONE,"(14, 45)",False
2025-07-01 00:01:51,3F_AGV_122,IDLE,NONE,NONE,"(17, 36)",False
2025-07-01 00:01:51,3F_AGV_123,IDLE,NONE,NONE,"(16, 44)",False
2025-07-01 00:01:51,3F_AGV_124,IDLE,NONE,NONE,"(17, 29)",False
2025-07-01 00:01:51,3F_AGV_125,IDLE,NONE,NONE,"(13, 41)",False
2025-07-01 00:01:51,3F_AGV_126,IDLE,NONE,NONE,"(13, 13)",False
2025-07-01 00:01:51,3F_AGV_127,IDLE,NONE,NONE,"(5, 32)",False
2025-07-01 00:01:51,3F_AGV_128,IDLE,NONE,NONE,"(6, 54)",False
2025-07-01 00:01:51,3F_AGV_129,IDLE,NONE,NONE,"(13, 47)",False
2025-07-01 00:01:51,3F_AGV_130,IDLE,NONE,NONE,"(12, 27)",False
2025-07-01 00:01:51,3F_AGV_131,IDLE,NONE,NONE,"(6, 10)",False
2025-07-01 00:01:51,3F_AGV_132,IDLE,NONE,NONE,"(12, 37)",False
2025-07-01 00:01:51,3F_AGV_133,IDLE,NONE,NONE,"(1, 32)",False
2025-07-01 00:01:51,3F_AGV_134,IDLE,NONE,NONE,"(20, 33)",False
2025-07-01 00:01:51,3F_AGV_135,IDLE,NONE,NONE,"(14, 39)",False
2025-07-01 00:01:51,3F_AGV_136,IDLE,NONE,NONE,"(13, 55)",False
2025-07-01 00:01:51,3F_AGV_137,IDLE,NONE,NONE,"(28, 35)",False
2025-07-01 00:01:51,3F_AGV_138,IDLE,NONE,NONE,"(5, 15)",False
2025-07-01 00:01:51,3F_AGV_139,IDLE,NONE,NONE,"(16, 41)",False
2025-07-01 00:01:51,3F_AGV_140,IDLE,NONE,NONE,"(2, 52)",False
2025-07-01 00:01:51,3F_AGV_141,IDLE,NONE,NONE,"(24, 46)",False
2025-07-01 00:01:51,3F_AGV_142,IDLE,NONE,NONE,"(21, 35)",False
2025-07-01 00:01:51,3F_AGV_143,IDLE,NONE,NONE,"(30, 35)",False
2025-07-01 00:01:51,3F_AGV_144,IDLE,NONE,NONE,"(20, 41)",False
2025-07-01 00:01:51,3F_AGV_145,IDLE,NONE,NONE,"(16, 37)",False
2025-07-01 00:01:51,3F_AGV_146,IDLE,NONE,NONE,"(1, 44)",False
2025-07-01 00:01:51,3F_AGV_147,IDLE,NONE,NONE,"(4, 38)",False
2025-07-01 00:01:51,3F_AGV_148,IDLE,NONE,NONE,"(16, 57)",False
2025-07-01 00:01:51,3F_AGV_149,IDLE,NONE,NONE,"(16, 56)",False
2025-07-01 00:01:51,3F_AGV_150,IDLE,NONE,NONE,"(12, 26)",False
2025-07-01 00:01:51,3F_AGV_151,IDLE,NONE,NONE,"(24, 39)",False
2025-07-01 00:01:51,3F_AGV_152,IDLE,NONE,NONE,"(14, 55)",False
2025-07-01 00:01:51,3F_AGV_153,IDLE,NONE,NONE,"(12, 20)",False
2025-07-01 00:01:51,3F_AGV_154,IDLE,NONE,NONE,"(26, 33)",False
2025-07-01 00:01:51,3F_AGV_155,IDLE,NONE,NONE,"(8, 36)",False
2025-07-01 00:01:51,3F_AGV_156,IDLE,NONE,NONE,"(4, 44)",False
2025-07-01 00:01:51,3F_AGV_157,IDLE,NONE,NONE,"(23, 26)",False
2025-07-01 00:01:51,3F_AGV_158,IDLE,NONE,NONE,"(12, 33)",False
2025-07-01 00:01:51,3F_AGV_159,IDLE,NONE,NONE,"(16, 45)",False
2025-07-01 00:01:51,3F_AGV_160,IDLE,NONE,NONE,"(12, 9)",False
2025-07-01 00:01:51,3F_AGV_161,IDLE,NONE,NONE,"(10, 47)",False
2025-07-01 00:01:51,3F_AGV_162,IDLE,NONE,NONE,"(14, 47)",False
2025-07-01 00:01:51,3F_AGV_163,IDLE,NONE,NONE,"(9, 35)",False
2025-07-01 00:01:51,3F_AGV_164,IDLE,NONE,NONE,"(20, 45)",False
2025-07-01 00:01:51,3F_AGV_165,IDLE,NONE,NONE,"(4, 42)",False
2025-07-01 00:01:51,3F_AGV_166,IDLE,NONE,NONE,"(10, 31)",False
2025-07-01 00:01:51,2F_AGV_1,IDLE,NONE,NONE,"(28, 26)",False
2025-07-01 00:01:51,2F_AGV_2,IDLE,NONE,NONE,"(23, 13)",False
2025-07-01 00:01:51,2F_AGV_3,IDLE,NONE,NONE,"(23, 11)",False
2025-07-01 00:01:51,2F_AGV_4,IDLE,NONE,NONE,"(23, 16)",False
2025-07-01 00:01:51,2F_AGV_5,IDLE,NONE,NONE,"(24, 26)",False
2025-07-01 00:01:51,2F_AGV_6,IDLE,NONE,NONE,"(24, 27)",False
2025-07-01 00:01:51,2F_AGV_7,IDLE,NONE,NONE,"(14, 14)",False
2025-07-01 00:01:51,2F_AGV_8,IDLE,NONE,NONE,"(24, 8)",False
2025-07-01 00:01:51,2F_AGV_9,IDLE,NONE,NONE,"(12, 31)",False
2025-07-01 00:01:51,2F_AGV_10,IDLE,NONE,NONE,"(30, 26)",False
2025-07-01 00:01:51,2F_AGV_11,IDLE,NONE,NONE,"(1, 52)",False
2025-07-01 00:01:51,2F_AGV_12,IDLE,NONE,NONE,"(26, 33)",False
2025-07-01 00:01:51,2F_AGV_13,IDLE,NONE,NONE,"(10, 8)",False
2025-07-01 00:01:51,2F_AGV_14,IDLE,NONE,NONE,"(20, 39)",False
2025-07-01 00:01:51,2F_AGV_15,IDLE,NONE,NONE,"(24, 28)",False
2025-07-01 00:01:51,2F_AGV_16,IDLE,NONE,NONE,"(8, 20)",False
2025-07-01 00:01:51,2F_AGV_17,IDLE,NONE,NONE,"(21, 8)",False
2025-07-01 00:01:51,2F_AGV_18,IDLE,NONE,NONE,"(21, 31)",False
2025-07-01 00:01:51,2F_AGV_19,IDLE,NONE,NONE,"(14, 27)",False
2025-07-01 00:01:51,2F_AGV_20,IDLE,NONE,NONE,"(24, 38)",False
2025-07-01 00:01:51,2F_AGV_21,IDLE,NONE,NONE,"(24, 12)",False
2025-07-01 00:01:51,2F_AGV_22,IDLE,NONE,NONE,"(13, 21)",False
2025-07-01 00:01:51,2F_AGV_23,IDLE,NONE,NONE,"(18, 44)",False
2025-07-01 00:01:51,2F_AGV_24,IDLE,NONE,NONE,"(21, 18)",False
2025-07-01 00:01:51,2F_AGV_25,IDLE,NONE,NONE,"(9, 59)",False
2025-07-01 00:01:51,2F_AGV_26,IDLE,NONE,NONE,"(16, 18)",False
2025-07-01 00:01:51,2F_AGV_27,IDLE,NONE,NONE,"(4, 15)",False
2025-07-01 00:01:51,2F_AGV_28,IDLE,NONE,NONE,"(24, 22)",False
2025-07-01 00:01:51,2F_AGV_29,IDLE,NONE,NONE,"(13, 13)",False
2025-07-01 00:01:51,2F_AGV_30,IDLE,NONE,NONE,"(17, 35)",False
2025-07-01 00:01:51,2F_AGV_31,IDLE,NONE,NONE,"(14, 23)",False
2025-07-01 00:01:51,2F_AGV_32,IDLE,NONE,NONE,"(10, 15)",False
2025-07-01 00:01:51,2F_AGV_33,IDLE,NONE,NONE,"(6, 40)",False
2025-07-01 00:01:51,2F_AGV_34,IDLE,NONE,NONE,"(1, 57)",False
2025-07-01 00:01:51,2F_AGV_35,IDLE,NONE,NONE,"(1, 31)",False
2025-07-01 00:01:51,2F_AGV_36,IDLE,NONE,NONE,"(24, 46)",False
2025-07-01 00:01:51,2F_AGV_37,IDLE,NONE,NONE,"(24, 44)",False
2025-07-01 00:01:51,2F_AGV_38,IDLE,NONE,NONE,"(12, 13)",False
2025-07-01 00:01:51,2F_AGV_39,IDLE,NONE,NONE,"(21, 22)",False
2025-07-01 00:01:51,2F_AGV_40,IDLE,NONE,NONE,"(14, 48)",False
2025-07-01 00:01:51,2F_AGV_41,IDLE,NONE,NONE,"(14, 55)",False
2025-07-01 00:01:51,2F_AGV_42,IDLE,NONE,NONE,"(13, 44)",False
2025-07-01 00:01:51,2F_AGV_43,IDLE,NONE,NONE,"(6, 32)",False
2025-07-01 00:01:51,2F_AGV_44,IDLE,NONE,NONE,"(10, 30)",False
2025-07-01 00:01:51,2F_AGV_45,IDLE,NONE,NONE,"(4, 19)",False
2025-07-01 00:01:51,2F_AGV_46,IDLE,NONE,NONE,"(20, 46)",False
2025-07-01 00:01:51,2F_AGV_47,IDLE,NONE,NONE,"(5, 53)",False
2025-07-01 00:01:51,2F_AGV_48,IDLE,NONE,NONE,"(13, 16)",False
2025-07-01 00:01:51,2F_AGV_49,IDLE,NONE,NONE,"(24, 29)",False
2025-07-01 00:01:51,2F_AGV_50,IDLE,NONE,NONE,"(24, 40)",False
2025-07-01 00:01:51,2F_AGV_51,IDLE,NONE,NONE,"(6, 27)",False
2025-07-01 00:01:51,2F_AGV_52,IDLE,NONE,NONE,"(18, 32)",False
2025-07-01 00:01:51,2F_AGV_53,IDLE,NONE,NONE,"(10, 13)",False
2025-07-01 00:01:51,2F_AGV_54,IDLE,NONE,NONE,"(28, 33)",False
2025-07-01 00:01:51,2F_AGV_55,IDLE,NONE,NONE,"(1, 23)",False
2025-07-01 00:01:51,2F_AGV_56,IDLE,NONE,NONE,"(14, 56)",False
2025-07-01 00:01:51,2F_AGV_57,IDLE,NONE,NONE,"(2, 51)",False
2025-07-01 00:01:51,2F_AGV_58,IDLE,NONE,NONE,"(3, 59)",False
2025-07-01 00:01:51,2F_AGV_59,IDLE,NONE,NONE,"(23, 56)",False
2025-07-01 00:01:51,2F_AGV_60,IDLE,NONE,NONE,"(14, 20)",False
2025-07-01 00:01:51,2F_AGV_61,IDLE,NONE,NONE,"(12, 56)",False
2025-07-01 00:01:51,2F_AGV_62,IDLE,NONE,NONE,"(30, 32)",False
2025-07-01 00:01:51,2F_AGV_63,IDLE,NONE,NONE,"(12, 40)",False
2025-07-01 00:01:51,2F_AGV_64,IDLE,NONE,NONE,"(20, 26)",False
2025-07-01 00:01:51,2F_AGV_65,IDLE,NONE,NONE,"(23, 46)",False
2025-07-01 00:01:51,2F_AGV_66,IDLE,NONE,NONE,"(16, 10)",False
2025-07-01 00:01:51,3F_AGV_101,IDLE,NONE,NONE,"(1, 18)",False
2025-07-01 00:01:51,3F_AGV_102,IDLE,NONE,NONE,"(1, 43)",False
2025-07-01 00:01:51,3F_AGV_103,IDLE,NONE,NONE,"(18, 35)",False
2025-07-01 00:01:51,3F_AGV_104,IDLE,NONE,NONE,"(18, 33)",False
2025-07-01 00:01:51,3F_AGV_105,IDLE,NONE,NONE,"(23, 23)",False
2025-07-01 00:01:51,3F_AGV_106,IDLE,NONE,NONE,"(30, 39)",False
2025-07-01 00:01:51,3F_AGV_107,IDLE,NONE,NONE,"(18, 48)",False
2025-07-01 00:01:51,3F_AGV_108,IDLE,NONE,NONE,"(10, 38)",False
2025-07-01 00:01:51,3F_AGV_109,IDLE,NONE,NONE,"(1, 14)",False
2025-07-01 00:01:51,3F_AGV_110,IDLE,NONE,NONE,"(6, 35)",False
2025-07-01 00:01:51,3F_AGV_111,IDLE,NONE,NONE,"(5, 59)",False
2025-07-01 00:01:51,3F_AGV_112,IDLE,NONE,NONE,"(9, 20)",False
2025-07-01 00:01:51,3F_AGV_113,IDLE,NONE,NONE,"(4, 11)",False
2025-07-01 00:01:51,3F_AGV_114,IDLE,NONE,NONE,"(18, 14)",False
2025-07-01 00:01:51,3F_AGV_115,IDLE,NONE,NONE,"(24, 32)",False
2025-07-01 00:01:51,3F_AGV_116,IDLE,NONE,NONE,"(14, 12)",False
2025-07-01 00:01:51,3F_AGV_117,IDLE,NONE,NONE,"(5, 53)",False
2025-07-01 00:01:51,3F_AGV_118,IDLE,NONE,NONE,"(21, 16)",False
2025-07-01 00:01:51,3F_AGV_119,IDLE,NONE,NONE,"(5, 13)",False
2025-07-01 00:01:51,3F_AGV_120,IDLE,NONE,NONE,"(1, 47)",False
2025-07-01 00:01:51,3F_AGV_121,IDLE,NONE,NONE,"(14, 45)",False
2025-07-01 00:01:51,3F_AGV_122,IDLE,NONE,NONE,"(17, 36)",False
2025-07-01 00:01:51,3F_AGV_123,IDLE,NONE,NONE,"(16, 44)",False
2025-07-01 00:01:51,3F_AGV_124,IDLE,NONE,NONE,"(17, 29)",False
2025-07-01 00:01:51,3F_AGV_125,IDLE,NONE,NONE,"(13, 41)",False
2025-07-01 00:01:51,3F_AGV_126,IDLE,NONE,NONE,"(13, 13)",False
2025-07-01 00:01:51,3F_AGV_127,IDLE,NONE,NONE,"(5, 32)",False
2025-07-01 00:01:51,3F_AGV_128,IDLE,NONE,NONE,"(6, 54)",False
2025-07-01 00:01:51,3F_AGV_129,IDLE,NONE,NONE,"(13, 47)",False
2025-07-01 00:01:51,3F_AGV_130,IDLE,NONE,NONE,"(12, 27)",False
2025-07-01 00:01:51,3F_AGV_131,IDLE,NONE,NONE,"(6, 10)",False
2025-07-01 00:01:51,3F_AGV_132,IDLE,NONE,NONE,"(12, 37)",False
2025-07-01 00:01:51,3F_AGV_133,IDLE,NONE,NONE,"(1, 32)",False
2025-07-01 00:01:51,3F_AGV_134,IDLE,NONE,NONE,"(20, 33)",False
2025-07-01 00:01:51,3F_AGV_135,IDLE,NONE,NONE,"(14, 39)",False
2025-07-01 00:01:51,3F_AGV_136,IDLE,NONE,NONE,"(13, 55)",False
2025-07-01 00:01:51,3F_AGV_137,IDLE,NONE,NONE,"(28, 35)",False
2025-07-01 00:01:51,3F_AGV_138,IDLE,NONE,NONE,"(5, 15)",False
2025-07-01 00:01:51,3F_AGV_139,IDLE,NONE,NONE,"(16, 41)",False
2025-07-01 00:01:51,3F_AGV_140,IDLE,NONE,NONE,"(2, 52)",False
2025-07-01 00:01:51,3F_AGV_141,IDLE,NONE,NONE,"(24, 46)",False
2025-07-01 00:01:51,3F_AGV_142,IDLE,NONE,NONE,"(21, 35)",False
2025-07-01 00:01:51,3F_AGV_143,IDLE,NONE,NONE,"(30, 35)",False
2025-07-01 00:01:51,3F_AGV_144,IDLE,NONE,NONE,"(20, 41)",False
2025-07-01 00:01:51,3F_AGV_145,IDLE,NONE,NONE,"(16, 37)",False
2025-07-01 00:01:51,3F_AGV_146,IDLE,NONE,NONE,"(1, 44)",False
2025-07-01 00:01:51,3F_AGV_147,IDLE,NONE,NONE,"(4, 38)",False
2025-07-01 00:01:51,3F_AGV_148,IDLE,NONE,NONE,"(16, 57)",False
2025-07-01 00:01:51,3F_AGV_149,IDLE,NONE,NONE,"(16, 56)",False
2025-07-01 00:01:51,3F_AGV_150,IDLE,NONE,NONE,"(12, 26)",False
2025-07-01 00:01:51,3F_AGV_151,IDLE,NONE,NONE,"(24, 39)",False
2025-07-01 00:01:51,3F_AGV_152,IDLE,NONE,NONE,"(14, 55)",False
2025-07-01 00:01:51,3F_AGV_153,IDLE,NONE,NONE,"(12, 20)",False
2025-07-01 00:01:51,3F_AGV_154,IDLE,NONE,NONE,"(26, 33)",False
2025-07-01 00:01:51,3F_AGV_155,IDLE,NONE,NONE,"(8, 36)",False
2025-07-01 00:01:51,3F_AGV_156,IDLE,NONE,NONE,"(4, 44)",False
2025-07-01 00:01:51,3F_AGV_157,IDLE,NONE,NONE,"(23, 26)",False
2025-07-01 00:01:51,3F_AGV_158,IDLE,NONE,NONE,"(12, 33)",False
2025-07-01 00:01:51,3F_AGV_159,IDLE,NONE,NONE,"(16, 45)",False
2025-07-01 00:01:51,3F_AGV_160,IDLE,NONE,NONE,"(12, 9)",False
2025-07-01 00:01:51,3F_AGV_161,IDLE,NONE,NONE,"(10, 47)",False
2025-07-01 00:01:51,3F_AGV_162,IDLE,NONE,NONE,"(14, 47)",False
2025-07-01 00:01:51,3F_AGV_163,IDLE,NONE,NONE,"(9, 35)",False
2025-07-01 00:01:51,3F_AGV_164,IDLE,NONE,NONE,"(20, 45)",False
2025-07-01 00:01:51,3F_AGV_165,IDLE,NONE,NONE,"(4, 42)",False
2025-07-01 00:01:51,3F_AGV_166,IDLE,NONE,NONE,"(10, 31)",False
